neighborhood_name,year,district_name,median_income
Baró de Viver,2021-01-01,Sant Andreu,29438.5
Can Baró,2021-01-01,Horta-Guinardó,45922.0
Can Peguera,2021-01-01,Nou Barris,28117.0
Canyelles,2021-01-01,Nou Barris,43158.0
Ciutat Meridiana,2021-01-01,Nou Barris,29393.5
Diagonal Mar i el Front Marítim del Poblenou,2021-01-01,Sant Martí,60322.0
Horta,2021-01-01,Horta-Guinardó,48919.0
Hostafrancs,2021-01-01,Sants-Montjuïc,45256.5
Montbau,2021-01-01,Horta-Guinardó,44081.5
Navas,2021-01-01,Sant Andreu,48680.0
Pedralbes,2021-01-01,Les Corts,131719.0
Porta,2021-01-01,Nou Barris,38889.0
Provençals del Poblenou,2021-01-01,Sant Martí,45927.5
Sant Andreu,2021-01-01,Sant Andreu,49842.0
Sant Antoni,2021-01-01,Eixample,51740.5
Sant Genís dels Agudells,2021-01-01,Horta-Guinardó,41460.0
Sant Gervasi- Galvany,2021-01-01,Sarrià-Sant Gervasi,96493.0
Sant Gervasi- la Bonanova,2021-01-01,Sarrià-Sant Gervasi,109582.5
Sant Martí de Provençals,2021-01-01,Sant Martí,40957.0
"Sant Pere, Santa Caterina i la Ribera",2021-01-01,Ciutat Vella,38023.0
Sants,2021-01-01,Sants-Montjuïc,48634.0
Sants-Badal,2021-01-01,Sants-Montjuïc,44526.5
Sarrià,2021-01-01,Sarrià-Sant Gervasi,93898.5
Torre Baró,2021-01-01,Nou Barris,32808.0
Vallbona,2021-01-01,Nou Barris,31943.0
Vallcarca i els Penitents,2021-01-01,Gràcia,62980.0
"Vallvidrera, el Tibidabo i les Planes",2021-01-01,Sarrià-Sant Gervasi,102026.0
Verdun,2021-01-01,Nou Barris,32005.5
Vilapicina i la Torre Llobeta,2021-01-01,Nou Barris,44543.0
el Baix Guinardó,2021-01-01,Horta-Guinardó,49431.0
el Barri Gòtic,2021-01-01,Ciutat Vella,37411.0
el Besòs i el Maresme,2021-01-01,Sant Martí,31033.0
el Bon Pastor,2021-01-01,Sant Andreu,33564.0
el Camp d'en Grassot i Gràcia Nova,2021-01-01,Gràcia,57618.0
el Camp de l'Arpa del Clot,2021-01-01,Sant Martí,46429.0
el Carmel,2021-01-01,Horta-Guinardó,34336.5
el Clot,2021-01-01,Sant Martí,48355.0
el Coll,2021-01-01,Gràcia,47018.0
el Congrés i els Indians,2021-01-01,Sant Andreu,46279.0
el Fort Pienc,2021-01-01,Eixample,55616.5
el Guinardó,2021-01-01,Horta-Guinardó,46870.0
el Parc i la Llacuna del Poblenou,2021-01-01,Sant Martí,53068.0
el Poble Sec,2021-01-01,Sants-Montjuïc,38854.0
el Poblenou,2021-01-01,Sant Martí,55700.0
el Putxet i el Farró,2021-01-01,Sarrià-Sant Gervasi,69723.0
el Raval,2021-01-01,Ciutat Vella,32144.0
el Turó de la Peira,2021-01-01,Nou Barris,33272.0
l'Antiga Esquerra de l'Eixample,2021-01-01,Eixample,64286.5
la Barceloneta,2021-01-01,Ciutat Vella,33103.0
la Bordeta,2021-01-01,Sants-Montjuïc,47876.0
la Clota,2021-01-01,Horta-Guinardó,46694.0
la Dreta de l'Eixample,2021-01-01,Eixample,70978.0
la Font d'en Fargues,2021-01-01,Horta-Guinardó,57081.0
la Font de la Guatlla,2021-01-01,Sants-Montjuïc,46102.0
la Guineueta,2021-01-01,Nou Barris,41713.0
la Marina de Port,2021-01-01,Sants-Montjuïc,39638.0
la Marina del Prat Vermell,2021-01-01,Sants-Montjuïc,32820.0
la Maternitat i Sant Ramon,2021-01-01,Les Corts,59153.0
la Nova Esquerra de l'Eixample,2021-01-01,Eixample,57920.5
la Prosperitat,2021-01-01,Nou Barris,35314.5
la Sagrada Família,2021-01-01,Eixample,51427.5
la Sagrera,2021-01-01,Sant Andreu,46743.0
la Salut,2021-01-01,Gràcia,57643.5
la Teixonera,2021-01-01,Horta-Guinardó,38183.0
la Trinitat Nova,2021-01-01,Nou Barris,30184.0
la Trinitat Vella,2021-01-01,Sant Andreu,31145.0
la Vall d'Hebron,2021-01-01,Horta-Guinardó,51074.0
la Verneda i la Pau,2021-01-01,Sant Martí,40695.0
la Vila Olímpica del Poblenou,2021-01-01,Sant Martí,83317.0
la Vila de Gràcia,2021-01-01,Gràcia,50733.0
les Corts,2021-01-01,Les Corts,65816.0
les Roquetes,2021-01-01,Nou Barris,31584.0
les Tres Torres,2021-01-01,Sarrià-Sant Gervasi,131719.0
